title,production_budget,domestic_gross_x,worldwide_gross,studio,genre_ids,original_language,popularity,vote_average,vote_count,date,Year,Month
The Edge of Seventeen,9000000.0,14431633.0,19096003.0,STX,"[35, 18]",en,11.546,7.2,2224.0,2016-11-18,2016.0,11.0
Jackie,9000000.0,13960394.0,36588512.0,FoxS,[18],en,8.818999999999997,6.4,1420.0,2016-12-02,2016.0,12.0
Glee: The 3D Concert Movie,9000000.0,11862398.0,17462398.0,,,,,,,,2011.0,8.0
Loving,9000000.0,7710234.0,12898064.0,Focus,"[10749, 18]",en,8.506,6.7,529.0,2016-11-04,2016.0,11.0
The Sun is Also a Star,9000000.0,4950029.0,5434029.0,,,,,,,,2019.0,5.0
The Sapphires,9000000.0,2450867.0,20395040.0,Wein.,"[35, 18]",en,6.16,6.7,97.0,2013-03-22,2013.0,3.0
Greater,9000000.0,2000093.0,2000093.0,,"[10751, 18]",en,1.891,7.3,37.0,2016-08-26,2016.0,8.0
Destroyer,9000000.0,1533324.0,3681096.0,Annapurna,"[53, 80, 18, 28]",en,17.815,5.9,176.0,2018-12-25,2018.0,12.0
Princess Kaiulani,9000000.0,883887.0,883887.0,,,,,,,,2010.0,5.0
Dheepan,9000000.0,248795.0,7704357.0,IFC,,,,,,,2016.0,5.0
La fille du RER,9000000.0,208163.0,208163.0,,,,,,,,2010.0,1.0
Red Riding: The Year of Our Lord 1974,9000000.0,148826.0,148826.0,,,,,,,,2010.0,2.0
Leaves of Grass,9000000.0,70066.0,85527.0,First,"[35, 80, 53]",en,5.996,6.0,214.0,2010-09-17,2010.0,9.0
Skin Trade,9000000.0,1242.0,1242.0,Magn.,"[53, 28, 18]",en,9.362,5.6,96.0,2014-11-07,2014.0,11.0
Beneath Hill 60,9000000.0,0.0,3440939.0,,"[18, 36, 10752]",en,6.067,7.0,66.0,2011-06-28,2011.0,6.0
Veronika Decides to Die,9000000.0,0.0,2243.0,,,,,,,,2015.0,1.0
A Haunting in Connecticut 2: The Ghosts of Georgia,9000000.0,0.0,0.0,,,,,,,,2013.0,2.0
Polisse,8900000.0,176988.0,22744132.0,IFC,[18],fr,7.682,7.8,670.0,2011-11-11,2011.0,11.0
Heist,8900000.0,50136.0,3324131.0,,"[28, 80]",en,0.6,5.0,1.0,2010-02-09,2010.0,2.0
Ultramarines,8900000.0,0.0,0.0,,,,,,,,2011.0,2.0
Manchester by the Sea,8500000.0,47695371.0,77733867.0,RAtt.,[18],en,16.637999999999998,7.5,3176.0,2016-11-18,2016.0,11.0
The DUFF,8500000.0,34030343.0,43528634.0,LGF,"[10749, 35]",en,9.054,6.8,2987.0,2015-02-20,2015.0,2.0
Nightcrawler,8500000.0,32381218.0,50334418.0,ORF,"[80, 18, 53]",en,25.597,7.7,5860.0,2014-10-31,2014.0,10.0
Dragon Ball Super: Broly,8500000.0,30376755.0,122747755.0,,"[28, 16, 14, 12, 35, 878]",ja,6.8679999999999986,7.4,721.0,2019-01-16,2019.0,1.0
Baggage Claim,8500000.0,21569509.0,22885836.0,FoxS,[35],en,8.666,5.4,127.0,2013-09-27,2013.0,9.0
Middle School: The Worst Years of My Life,8500000.0,20007149.0,23311293.0,LGF,"[10751, 35]",en,8.479,7.0,190.0,2016-10-07,2016.0,10.0
All is Lost,8500000.0,6263670.0,10386814.0,,,,,,,,2013.0,10.0
The Rover,8500000.0,1109199.0,3180252.0,A24,"[80, 18]",en,13.528,6.2,435.0,2014-07-18,2014.0,7.0
Posledniy bogatyr,8500000.0,0.0,30700192.0,,,,,,,,2017.0,12.0
A.C.O.R.N.S.: Operation Crackdown,8500000.0,0.0,1353287.0,,,,,,,,2016.0,11.0
My Name is Khan,8470000.0,4046336.0,42355526.0,FoxS,,,,,,,2010.0,2.0
Yeh Jawaani Hai Deewani,8300000.0,3827466.0,50827466.0,Eros,,,,,,,2013.0,5.0
The City of Your Final Destination,8300000.0,493296.0,1353296.0,Scre.,,,,,,,2010.0,4.0
Easy A,8000000.0,58401464.0,76200721.0,SGem,[35],en,14.69,6.8,4168.0,2010-09-17,2010.0,9.0
The Intruder,8000000.0,35095904.0,36005871.0,,,,,,,,2019.0,5.0
50/50,8000000.0,35016118.0,41334735.0,Sum.,"[35, 18]",en,12.451,7.1,2111.0,2011-09-30,2011.0,9.0
