	production_budget	domestic_gross_x	worldwide_gross	month	year	studio	genre_ids	original_language	popularity	vote_average	vote_count	date	month	year
War for the Planet of the Apes	152000000	146880162	489592267	7.0	2017.0	Fox	[18, 878, 10752]	en	23.445	7.0	5235.0	2017-07-14	7.0	2017.0
Wonder Woman	150000000	412563408	821133378	6.0	2017.0	WB	[28, 14]	en	2.841	5.9	34.0	2013-09-29	9.0	2013.0
Frozen	150000000	400738009	1272469910	11.0	2013.0	BV	[53]	en	9.677999999999999	5.8	987.0	2010-02-05	2.0	2010.0
Zootopia	150000000	341268248	1019429616	3.0	2016.0	BV	[16, 12, 10751, 35]	en	27.549	7.7	9977.0	2016-03-04	3.0	2016.0
Moana	150000000	248757044	637517365	11.0	2016.0	BV	[99]	en	1.96	6.5	16.0	2015-11-13	11.0	2015.0
Thor: The Dark World	150000000	206362140	644602516	11.0	2013.0	BV	[28, 12, 14]	en	31.014	6.7	10171.0	2013-11-08	11.0	2013.0
Mission: ImpossibleâRogue Nation	150000000	195042377	688858992	7.0	2015.0									
Dunkirk	150000000	190068280	499837368	7.0	2017.0	WB	[10752, 28, 18]	en	24.358	7.4	9156.0	2017-07-19	7.0	2017.0
Thor	150000000	181030624	449326618	5.0	2011.0	Par.	[12, 14, 28]	en	38.068000000000005	6.7	12764.0	2011-05-06	5.0	2011.0
Kung Fu Panda 2	150000000	165249063	664837547	5.0	2011.0	P/DW	[16, 10751]	en	17.363	6.7	3628.0	2011-05-25	5.0	2011.0
Mad Max: Fury Road	150000000	153636354	370098020	5.0	2015.0	WB	[28, 12, 878]	en	28.099	7.4	14454.0	2015-05-15	5.0	2015.0
PokÃ©mon: Detective Pikachu	150000000	139507806	411258433	5.0	2019.0									
Ready Player One	150000000	137690172	579290136	3.0	2018.0	WB	[12, 878]	en	30.029	7.6	7021.0	2018-03-29	3.0	2018.0
The Last Airbender	150000000	131772187	319713881	7.0	2010.0	Par.	[28, 12, 10751, 14]	en	16.595	4.6	2143.0	2010-07-01	7.0	2010.0
Wrath of the Titans	150000000	83670083	305270083	3.0	2012.0	WB	[14, 12, 28]	en	14.991	5.6	2442.0	2012-03-29	3.0	2012.0
Dark Shadows	150000000	79727149	238202668	5.0	2012.0	WB	[35, 14]	en	15.75	5.9	4197.0	2012-05-11	5.0	2012.0
White House Down	150000000	73103784	205440387	6.0	2013.0	Sony	[28, 18, 53]	en	13.026	6.4	2817.0	2013-06-28	6.0	2013.0
The Wolfman	150000000	62189884	142634358	2.0	2010.0	Uni.	[27]	en	14.03	5.7	1009.0	2010-02-12	2.0	2010.0
The Great Wall	150000000	45157105	334486852	2.0	2017.0	Uni.	[28, 12, 14]	en	19.144000000000002	5.8	2775.0	2017-02-17	2.0	2017.0
Pan	150000000	35088320	151525973	10.0	2015.0	WB	[12, 10751, 14]	en	13.054	5.9	1701.0	2015-10-09	10.0	2015.0
Mars Needs Moms	150000000	21392758	39549758	3.0	2011.0	BV	[12, 16, 10751]	en	8.852	5.7	299.0	2011-03-11	3.0	2011.0
Madagascar 3: Europe's Most Wanted	145000000	216391482	746921271	6.0	2012.0	P/DW	[16, 10751, 35]	en	18.705	6.5	3380.0	2012-06-08	6.0	2012.0
Mission: ImpossibleâGhost Protocol	145000000	209397903	694713230	12.0	2011.0									
How to Train Your Dragon 2	145000000	177002924	614586270	6.0	2014.0	Fox	[14, 28, 12, 16, 35, 10751]	en	27.105999999999998	7.7	5589.0	2014-06-13	6.0	2014.0
Mr. Peabody & Sherman	145000000	111506430	269806430	3.0	2014.0	Fox	[16, 12, 10751]	en	12.812999999999999	6.6	1357.0	2014-03-07	3.0	2014.0
Rise of the Guardians	145000000	103412758	306900902	11.0	2012.0	P/DW	[16, 10751, 14]	en	14.934000000000001	7.3	3697.0	2012-11-21	11.0	2012.0
Ghostbusters	144000000	128350574	229008658	7.0	2016.0		[28, 14, 35]	en	16.079	5.4	3780.0	2016-07-15	7.0	2016.0
Captain America: The First Avenger	140000000	176654505	370569776	7.0	2011.0	Par.	[28, 12, 878]	en	25.808000000000003	6.9	12810.0	2011-07-22	7.0	2011.0
Kung Fu Panda 3	140000000	143528619	517599142	1.0	2016.0	Fox	[28, 12, 16, 35, 10751]	en	16.248	6.7	2944.0	2016-01-29	1.0	2016.0
G.I. Joe: Retaliation	140000000	122523060	375740705	3.0	2013.0	Par.	[12, 28, 878, 53]	en	15.065	5.5	3883.0	2013-03-29	3.0	2013.0
Exodus: Gods and Kings	140000000	65014513	268314513	12.0	2014.0	Fox	[12, 18, 28]	en	26.789	5.7	2909.0	2014-12-12	12.0	2014.0
The BFG	140000000	55483770	199646680	7.0	2016.0	BV	[12, 10751, 14]	en	20.08	6.2	1916.0	2016-07-01	7.0	2016.0
Gods of Egypt	140000000	31153464	138836756	2.0	2016.0	LG/S	[28, 12, 14, 878]	en	18.517	5.4	2353.0	2016-02-26	2.0	2016.0
The Twilight Saga: Breaking Dawn, Part 2	136200000	292324737	829724737	11.0	2012.0									
The Croods	135000000	187168425	573068425	3.0	2013.0	Fox	[28, 12, 16, 35, 10751, 14]	en	16.29	6.8	3873.0	2013-03-22	3.0	2013.0
The Revenant	135000000	183637894	532938302	12.0	2015.0	Fox	[37, 18, 12]	en	19.41	7.4	11064.0	2015-12-25	12.0	2015.0
Rango	135000000	123477607	245724600	3.0	2011.0	Par.	[16, 35, 10751, 37, 12]	en	14.462	6.6	3412.0	2011-03-03	3.0	2011.0
Turbo	135000000	83028130	286896578	7.0	2013.0	Fox	[16, 10751]	en	14.876	6.1	1758.0	2013-07-19	7.0	2013.0
Teenage Mutant Ninja Turtles: Out of the Shadows	135000000	82051601	245328374	6.0	2016.0	Par.	[28, 12, 35, 10751, 878]	en	15.095999999999998	5.9	1860.0	2016-06-03	6.0	2016.0
Happy Feet Two	135000000	64006466	157956466	11.0	2011.0	WB	[16, 35, 10751]	en	8.131	5.9	754.0	2011-11-17	11.0	2011.0
The Nutcracker and the Four Realms	132900000	54858851	170293899	11.0	2018.0	BV	[14, 12, 10751]	en	26.235	6.0	909.0	2018-11-02	11.0	2018.0
Penguins of Madagascar	132000000	83350911	366942531	11.0	2014.0	Fox	[10751, 16, 12, 35]	en	20.899	6.4	2273.0	2014-11-26	11.0	2014.0
The Hunger Games: Catching Fire	130000000	424668047	864868047	11.0	2013.0	LGF	[12, 28, 878]	en	20.187	7.4	11170.0	2013-11-22	11.0	2013.0
Ant-Man and the Wasp	130000000	216648740	623144660	7.0	2018.0	BV	[28, 12, 878, 35]	en	44.729	7.0	6290.0	2018-07-06	7.0	2018.0
Ant-Man	130000000	180202163	518858449	7.0	2015.0	BV	[878, 28, 12]	en	32.715	7.1	11949.0	2015-07-17	7.0	2015.0
Home	130000000	177397510	385997896	3.0	2015.0		[18, 9648]	ru	1.8230000000000002	5.4	11.0	2011-11-11	11.0	2011.0
Mary Poppins Returns	130000000	171958438	341528518	12.0	2018.0	BV	[14, 10751, 35]	en	30.419	6.6	1457.0	2018-12-19	12.0	2018.0
Puss in Boots	130000000	149260504	554987477	10.0	2011.0	P/DW	[28, 12, 16, 10751, 14, 35]	en	9.078	6.3	1422.0	2011-10-28	10.0	2011.0
Megamind	130000000	148415853	321887208	11.0	2010.0	P/DW	[16, 28, 35, 10751, 878]	en	22.855	6.8	3635.0	2010-11-04	11.0	2010.0
Rio 2	130000000	131538435	492846291	4.0	2014.0	Fox	[12, 35, 10751, 16]	en	18.11	6.3	1803.0	2014-04-11	4.0	2014.0
Salt	130000000	118311368	290650494	7.0	2010.0	Sony	[28, 9648, 53]	en	13.025	6.3	3240.0	2010-07-23	7.0	2010.0
Noah	130000000	101200044	352831065	3.0	2014.0	Par.	[18]	en	0.6	7.6	11.0	2013-09-09	9.0	2013.0
The Adventures of Tintin	130000000	77591831	373993951	12.0	2011.0	Par.	[12, 16, 9648]	en	11.981	6.8	3251.0	2011-12-20	12.0	2011.0
After Earth	130000000	60522097	251499665	5.0	2013.0	Sony	[878, 28, 12]	en	14.415	5.1	4154.0	2013-05-31	5.0	2013.0
R.I.P.D.	130000000	33618855	79076678	7.0	2013.0	Uni.	[14, 28, 35, 80]	en	21.377	5.6	2047.0	2013-07-19	7.0	2013.0
How to Train Your Dragon: The Hidden World	129000000	160791800	519258283	2.0	2019.0									
The Twilight Saga: Breaking Dawn, Part 1	127500000	281287133	689420051	11.0	2011.0									
Logan	127000000	226277068	615461394	3.0	2017.0		[35, 18, 10751]	en	0.9640000000000001	6.1	4.0	2010-09-10	9.0	2010.0
Night at the Museum: Secret of the Tomb	127000000	113746621	353756621	12.0	2014.0	Fox	[12, 35, 14, 10751]	en	20.064	6.1	3536.0	2014-12-19	12.0	2014.0
Harry Potter and the Deathly Hallows: Part II	125000000	381193157	1341693157	7.0	2011.0									
The Hunger Games: Mockingjay - Part 1	125000000	337135885	766575131	11.0	2014.0	LGF	[878, 12, 53]	en	33.836999999999996	6.8	10087.0	2014-11-21	11.0	2014.0
Harry Potter and the Deathly Hallows: Part I	125000000	296131568	960431568	11.0	2010.0									
Fast Five	125000000	210031325	630163454	4.0	2011.0	Uni.	[28, 53, 80]	en	2.097	7.2	4294.0	2011-04-28	4.0	2011.0
Teenage Mutant Ninja Turtles	125000000	191204754	485004754	8.0	2014.0		[878, 28, 12, 14, 35]	en	25.619	5.8	4259.0	2014-08-08	8.0	2014.0
Sherlock Holmes: A Game of Shadows	125000000	186848418	535663443	12.0	2011.0	WB	[12, 28, 80, 9648]	en	18.301	7.1	6380.0	2011-12-16	12.0	2011.0
The Boss Baby	125000000	175003033	510878762	3.0	2017.0	Fox	[16, 35, 10751]	en	7.445	6.4	4314.0	2017-03-31	3.0	2017.0
Clash of the Titans	125000000	163214888	493214888	4.0	2010.0		[12, 14, 28]	en	15.574000000000002	5.7	3714.0	2010-04-02	4.0	2010.0
Trolls	125000000	153707064	344150134	11.0	2016.0	Fox	[12, 10751, 35, 14, 10402, 16]	en	16.285999999999998	6.6	1880.0	2016-11-04	11.0	2016.0
Prometheus	125000000	126477084	402448265	6.0	2012.0	Fox	[878, 12, 9648]	en	24.98	6.4	7384.0	2012-06-08	6.0	2012.0
The Bourne Legacy	125000000	113203870	280355920	8.0	2012.0	Uni.	[28, 53]	en	18.05	6.1	3630.0	2012-08-10	8.0	2012.0
Skyscraper	125000000	68420120	304115534	7.0	2018.0	Uni.	[28]	en	26.229	6.1	2177.0	2018-07-13	7.0	2018.0
Total Recall	125000000	58877969	211856088	8.0	2012.0		[28, 878, 12, 53]	en	17.243	5.9	3486.0	2012-08-03	8.0	2012.0
Assassinâs Creed	125000000	54647948	240759682	12.0	2016.0									
Monster Trucks	125000000	33370166	61642798	1.0	2017.0	Par.	[28, 35, 878]	en	8.827	5.9	414.0	2017-01-13	1.0	2017.0
Jason Bourne	120000000	162192920	416168316	7.0	2016.0	Uni.	[28, 53]	en	14.568	6.1	3611.0	2016-07-29	7.0	2016.0
Life of Pi	120000000	124987022	620912003	11.0	2012.0	Fox	[12, 18, 28]	en	15.0	7.3	8723.0	2012-11-21	11.0	2012.0
Rampage	120000000	101028233	428056280	4.0	2018.0		[28, 12, 878, 14]	en	24.238000000000003	6.2	3176.0	2018-04-13	4.0	2018.0
Elysium	120000000	93050117	286192091	8.0	2013.0	TriS	[878, 28, 18, 53]	en	17.663	6.4	5406.0	2013-08-09	8.0	2013.0
Oblivion	120000000	89107235	287916633	4.0	2013.0	Uni.	[28, 878, 12, 9648]	en	18.534000000000002	6.5	6850.0	2013-04-18	4.0	2013.0
